FSA,Language,Count,Year
M1K,Korean,65,2006
M1K,Cantonese,1065,2006
M1K,"Chinese, n.o.s.",1415,2006
M1K,Mandarin,825,2006
M1K,Taiwanese,0,2006
M1K,Lao,0,2006
M1K,Khmer (Cambodian),0,2006
M1K,Vietnamese,285,2006
M1K,Bisayan languages,55,2006
M1K,Ilocano,85,2006
M1K,Malay,0,2006
M1K,"Tagalog (Pilipino, Filipino)",1935,2006
M1K,Akan (Twi),15,2006
M1K,Swahili,35,2006
M1K,Creoles,80,2006
M1K,Other languages,540,2006
M1L,Algonquin,0,2006
M1L,Atikamekw,0,2006
M1L,Blackfoot,0,2006
M1L,Carrier,0,2006
M1L,Chilcotin,0,2006
M1L,Chipewyan,0,2006
M1L,Cree,0,2006
M1L,Siouan languages (Dakota/Sioux),0,2006
M1L,Dene,0,2006
M1L,Dogrib,0,2006
M1L,Gitksan,0,2006
M1L,Inuinnaqtun,0,2006
M1L,"Inuktitut, n.i.e.",0,2006
M1L,Kutchin-Gwich'in (Loucheux),0,2006
M1L,Malecite,0,2006
M1L,Mi'kmaq,0,2006
M1L,Mohawk,0,2006
M1L,Montagnais-Naskapi,0,2006
M1L,Nisga'a,0,2006
M1L,North Slave (Hare),0,2006
M1L,Ojibway,0,2006
M1L,Oji-Cree,0,2006
M1L,Shuswap,0,2006
M1L,South Slave,0,2006
M1L,Tlingit,0,2006
M1L,Italian,325,2006
M1L,Portuguese,50,2006
M1L,Romanian,65,2006
M1L,Spanish,295,2006
M1L,Danish,0,2006
M1L,Dutch,0,2006
M1L,Flemish,0,2006
M1L,Frisian,0,2006
M1L,German,15,2006
M1L,Norwegian,0,2006
M1L,Swedish,0,2006
M1L,Yiddish,0,2006
M1L,Bosnian,0,2006
M1L,Bulgarian,45,2006
M1L,Croatian,0,2006
M1L,Czech,35,2006
M1L,Macedonian,30,2006
M1L,Polish,50,2006
M1L,Russian,105,2006
M1L,Serbian,40,2006
M1L,Serbo-Croatian,0,2006
M1L,Slovak,0,2006
M1L,Slovenian,0,2006
M1L,Ukrainian,0,2006
M1L,Latvian,0,2006
M1L,Lithuanian,0,2006
M1L,Estonian,10,2006
M1L,Finnish,0,2006
M1L,Hungarian,55,2006
M1L,Greek,365,2006
M1L,Armenian,0,2006
M1L,Turkish,40,2006
M1L,Amharic,125,2006
M1L,Arabic,140,2006
M1L,Hebrew,10,2006
M1L,Maltese,0,2006
M1L,Somali,30,2006
M1L,Tigrigna,75,2006
M1L,Bengali,2170,2006
M1L,Gujarati,30,2006
M1L,Hindi,140,2006
M1L,Kurdish,50,2006
M1L,Panjabi (Punjabi),75,2006
M1L,Pashto,115,2006
M1L,Persian (Farsi),430,2006
M1L,Sindhi,85,2006
M1L,Sinhala (Sinhalese),25,2006
M1L,Urdu,855,2006
M1L,Malayalam,30,2006
M1L,Tamil,565,2006
M1L,Telugu,35,2006
M1L,Japanese,40,2006
M1L,Korean,60,2006
M1L,Cantonese,645,2006
M1L,"Chinese, n.o.s.",720,2006
M1L,Mandarin,280,2006
M1L,Taiwanese,10,2006
M1L,Lao,10,2006
M1L,Khmer (Cambodian),0,2006
M1L,Vietnamese,90,2006
M1L,Bisayan languages,55,2006
M1L,Ilocano,60,2006
M1L,Malay,0,2006
M1L,"Tagalog (Pilipino, Filipino)",820,2006
M1L,Akan (Twi),0,2006
M1L,Swahili,10,2006
M1L,Creoles,20,2006
M1L,Other languages,230,2006
M1M,Algonquin,0,2006
M1M,Atikamekw,0,2006
M1M,Blackfoot,0,2006
M1M,Carrier,0,2006
M1M,Chilcotin,0,2006
M1M,Chipewyan,0,2006
M1M,Cree,0,2006
M1M,Siouan languages (Dakota/Sioux),0,2006
M1M,Dene,0,2006
M1M,Dogrib,0,2006
M1M,Gitksan,0,2006
M1M,Inuinnaqtun,0,2006
M1M,"Inuktitut, n.i.e.",0,2006
M1M,Kutchin-Gwich'in (Loucheux),0,2006
M1M,Malecite,0,2006
M1M,Mi'kmaq,0,2006
M1M,Mohawk,0,2006
M1M,Montagnais-Naskapi,0,2006
M1M,Nisga'a,0,2006
M1M,North Slave (Hare),0,2006
M1M,Ojibway,0,2006
M1M,Oji-Cree,0,2006
M1M,Shuswap,0,2006
M1M,South Slave,0,2006
M1M,Tlingit,0,2006
M1M,Italian,115,2006
M1M,Portuguese,55,2006
M1M,Romanian,10,2006
M1M,Spanish,80,2006
M1M,Danish,0,2006
M1M,Dutch,0,2006
M1M,Flemish,0,2006
M1M,Frisian,0,2006
M1M,German,35,2006
M1M,Norwegian,0,2006
M1M,Swedish,10,2006
M1M,Yiddish,0,2006
M1M,Bosnian,0,2006
M1M,Bulgarian,10,2006
M1M,Croatian,10,2006
M1M,Czech,10,2006
M1M,Macedonian,135,2006
M1M,Polish,220,2006
M1M,Russian,80,2006
M1M,Serbian,85,2006
M1M,Serbo-Croatian,10,2006
M1M,Slovak,0,2006
M1M,Slovenian,0,2006
M1M,Ukrainian,10,2006
M1M,Latvian,10,2006
M1M,Lithuanian,0,2006
M1M,Estonian,10,2006
M1M,Finnish,25,2006
M1M,Hungarian,25,2006
M1M,Greek,70,2006
M1M,Armenian,0,2006
M1M,Turkish,15,2006
M1M,Amharic,15,2006
M1M,Arabic,30,2006
